C0003811	cardiac arrhythmia
C0003873	rheumatoid arthritis
C0015674	chronic fatigue syndrome
C0020473	hyperlipidemia
C0020538	hypertensive disease
C0010164	cosmetics
C0040435	tooth diseases
C0032343	poisoning
C0006826	malignant neoplasms
C0599059	free radical oxidation of tissue
C0007222	cardiovascular diseases
C0678771	protective drug effect
C1150124	cysteine protease activity
C0014432	enzyme inhibitors
C2263455	protease activity
C1566391	coloring agents
C0016320	fluorescent dyes
C0021213	indicators and reagents
C1450139	luminescent agents
C0279165	radioactive agent
C0021311	infection
C0042769	virus diseases
C0596263	carcinogenesis
C0480774	poisoning by and exposure to noxious substances, undetermined intent
C0030971	perception
C0042382	vascularization
C0018270	growth
C0020965	active immunity
C0020964	immunity
C0234097	cholinergic synaptic transmission
C0027793	synaptic transmission
C1148665	nicotinic acetylcholine-activated cation-selective channel activity
C0012797	diuresis
C0027477	natriuresis
C1151830	primary amine oxidase activity
C0234098	adrenergic synaptic transmission
C0544652	beta-adrenergic receptor function
C0301872	immune response
C0079866	mutagenesis process
C0018939	hematological disease
C1152738	histamine receptor activity
C0032176	platelet aggregation
C0030193	pain
C0021368	inflammation
C0035435	rheumatism
C2261439	fatty acid cyclooxygenase activity
C0683211	pns function
C0152027	sensory disorders
C0007682	cns disorder
C0598958	neuroprotective effect
C0014018	emulsifying agents
C0031318	pharmaceutic aids
C0004623	bacterial infections
C0003047	animal diseases
C0011603	dermatitis
C0033774	pruritus
C0005778	blood coagulation
C0001730	affinity labels
C0342917	deficiency of micronutrients
C1510471	vitamin deficiency
C0406206	ultraviolet-induced change in normal skin
C0005516	biological markers
C0026946	mycoses
C0002170	alopecia
C0025521	inborn errors of metabolism
C0028715	nutritional and metabolic diseases
C0042850	vitamin b deficiency
C1152805	n-methyl-d-aspartate selective glutamate receptor activity
C1150819	arginine decarboxylase activity
C0025519	metabolism
C1152196	purine-nucleoside phosphorylase activity
C0002888	anemia, megaloblastic
C0016412	folic acid deficiency
C0027794	neural tube defects
C1152740	5-ht receptor activity
C0007974	chelating agents
C1149831	cholinesterase activity
C0010360	cross-linking reagents
C0021717	intercalating agents
C2757050	iron chelating activity [moa]
C2609180	product contamination microbial
C0037638	solvents
C3159140	interferon production
C0151559	central nervous system depression (disorder)
C0544651	alpha-adrenergic receptor function
C0020456	hyperglycemia
C0277344	infestation by insect
C0597202	pesticide interaction
C0699771	flavor perception
C1149513	pheromone activity
C0026255	mitosis
C1156032	microtubule polymerization process
C1149063	cytochrome p450 activity
C1519624	transmembrane transport
C1153450	potassium channel activity
C1150239	serine protease activity
C1149145	mu-opioid receptor activity
C3179159	sedative effect
C0009951	convulsions
C2917138	central nervous system stimulation [pe]
C3179492	convulsant effect
C1816494	synaptic transmission, gabaergic
C0221171	hypnotic state
C0004936	mental disorders
C3179402	tranquilizing effect
C0032995	unwanted pregnancy
C1517315	free radical scavenging [moa]
C3179301	anesthetic effect
C0048332	4-hydroxybutyric acid receptor
C1516456	chemically induced neurotoxicity
<No Term>	<no term>
C0525025	photoaffinity labels
C3266896	apoptosis induction
C1149629	histone deacetylase activity
C0234107	excitatory synaptic transmission
C0037274	dermatologic disorders
C3179153	photosensitizing effect
C3179280	radiation-sensitizing effect
C0024530	malaria
C0030499	parasitic diseases
C0033740	protozoan infections
C1150527	protein kinase activity
C0003467	anxiety
C0232910	teratogenesis
C1721086	surgical fixation devices
C0010957	tissue damage
C0011570	mental depression
C0598962	neurotransmitter uptake
C0011156	deficiency diseases
C3468250	bowel evacuation complete
C0017178	gastrointestinal diseases
C0009806	constipation
C0980441	suppository base
C0010200	coughing
C2917436	non-narcotic antitussive
C0035204	respiration disorders
C1706253	binder excipient
C0027498	nausea and vomiting
C0518003	autonomic function
C3179241	parasympatholytic effect
C1705511	flavor excipient
C0020443	hypercholesterolemia
C0598783	lipid metabolism
C0042444	drug vehicle
C0850149	dry cough
C2599681	calorie intake
C1457887	symptoms
C1321580	trichobezoar disorder
C0042963	vomiting
C0015237	pharmaceutical excipient
C1400591	local; infection
C0151905	alanine aminotransferase increased
C0151904	aspartate transaminase levels raised (plasma or serum)
C0744831	hepatitis b chronic active
C0035369	retroviridae infections
C0597095	nucleic acid biosynthesis
C2257391	reverse transcriptase activity
C0178555	chemical cofactor
C0242297	dietary supplementation
C0237349	unbalanced diet
C0162429	malnutrition
C0018889	helminthiasis
C0007894	cestode infections
C0043250	injury wounds
C0151713	hyperchlorhydria
C0029878	otitis externa
C3160770	minor bleed
C0011334	dental caries
C0038990	sweating
C0038959	suspending agents
C0235304	acid indigestion
C0018834	heartburn
C0013295	duodenal ulcer
C0013395	dyspepsia
C0014869	peptic esophagitis
C0017168	gastroesophageal reflux disease
C0017181	gastrointestinal hemorrhage
C0038358	gastric ulcer
C0304542	calcium antacid
C0684199	homeopathy
C0580182	hyperhidrosis of axilla
C0770524	aluminum subacetate
C0686765	unpleasant odor of axilla
C0042029	urinary tract infection
C0022658	kidney diseases
C0085680	hypochloremia
C0220983	metabolic alkalosis
C0043065	water-electrolyte imbalance
C0597631	urine acidity
C0022593	keratosis
C1969290	dry, scaly skin
C0079584	ichthyosis vulgaris
C0259817	xerosis
C0015397	disorder of eye
C0027686	pathologic neovascularization
C0042396	vascular constriction (function)
C0239134	productive cough
C0036323	schistosomiasis
C0581358	gastric spasm (disorder)
C0014863	esophageal spasm
C0597829	ammonia poisoning
C0023487	acute promyelocytic leukemia
C0040715	chromosomal translocation
C0016479	food poisoning
C1709412	pml/rara fusion protein
C0017262	gene expression
C0277556	recurrent disease
C0003969	ascorbic acid deficiency
C0002871	anemia
C0036474	scurvy
C0026836	muscle relaxation phase
C2755483	relaxation of skeletal muscle
C0021932	intubation, intratracheal
C0035213	pulmonary ventilation
C0543467	operative surgical procedures
C2930408	neuromuscular blockade [pe]
C1149106	angiotensin receptor activity
C0009924	contrast media
C0011135	defecation
C0341268	disorder of small intestine
C0038354	stomach diseases
C0014852	esophageal diseases
C0358514	diagnostic agents
C2930749	radiographic contrast media
C0004096	asthma
C0028432	nose diseases
C1148777	glucocorticoid receptor activity
C0036262	scabies
C0030756	lice infestations
C2092213	dimercaprol injection
C0747422	penicillin sensitivity
C0027583	nematode infections
C0038888	surface-active agents
C0020621	hypokalemia
C0021564	insect bites
C0162451	poison ivy dermatitis
C1456686	poison ivy, oak and sumac
C0152030	skin irritation
C0860277	sour stomach
C0235309	upset stomach
C0238762	bicarbonate decreased
C0018790	cardiac arrest
C1392658	circulatory insufficiency
C3472181	severe dehydration
C0421258	diabetic - poor control
C0749125	drug intoxication
C0005775	blood circulation
C0235575	haemolytic reaction
C1839436	lactic acidosis, severe
C0220981	metabolic acidosis
C0392621	methyl alcohol poisoning
C0599918	nephrotoxicity
C0161544	poisoning by salicylate
C1443924	severe diarrhea
C0036974	shock
C0001126	renal tubular acidosis
C0013221	drug toxicity
C0020461	hyperkalemia
C0029944	drug overdose
C0001122	acidosis
C0849640	skin damage
C0850666	bacterial infection due to helicobacter pylori (h. pylori)
C0549625	clotting decreased
C0019080	hemorrhage
C0011991	diarrhea
C0858217	gastrointestinal fullness
C0014724	eructation
C0596601	gastrointestinal gas
C0020505	hyperphagia
C0027497	nausea
C0277528	traveler's diarrhea
C0232487	abdominal discomfort
C0220781	anabolism
C0304463	alkalinizing agent
C1267903	lymphocyte positive for cd30 antigen
C0376545	hematologic neoplasms
C0019829	hodgkin disease
C3179279	radiation-protective effect
C0085681	hyperphosphatemia
C0022661	kidney failure, chronic
C0020598	hypocalcemia
C0029456	osteoporosis
C0029458	osteoporosis, postmenopausal
