C0000729	Abdominal cramps
C0000737	Abdominal pain
C0687713	Gastrointestinal pain
C0002418	Amblyopia
C0002871	Anaemia
C0003123	Anorexia
C0232462	Decreased appetite
C0003467	Anxiety
C0003811	Arrhythmia
C0004093	Asthenia
C0004238	Atrial fibrillation
C0004604	Back pain
C0006277	Bronchitis
C0007222	Cardiovascular disorder
C0008031	Chest pain
C0009450	Infection
C0009806	Constipation
C0010200	Cough
C0011570	Depression
C0011991	Diarrhoea
C0012833	Dizziness
C0013378	Dysgeusia
C0013395	Dyspepsia
C0013404	Dyspnoea
C0015230	Rash
C0011603	Dermatitis
C0015397	Eye disorder
C0015967	Body temperature increased
C0017152	Gastritis
C0017178	Gastrointestinal disorder
C0018681	Headache
C0019080	Haemorrhage
C0518015	Haemoglobin
C0020437	Hypercalcaemia
C0020461	Hyperkalaemia
C0020517	Hypersensitivity
C0020538	Hypertension
C0020649	Hypotension
C0021400	Influenza
C0023218	Cramps of lower extremities
C0037763	Muscle spasms
C0025222	Melaena
C0026826	Hypertonia
C0027497	Nausea
C0030193	Pain
C0030252	Palpitations
C0030517	Parathyroid disorder
C0030554	Paraesthesia
C0031350	Pharyngitis
C0033774	Pruritus
C0035078	Renal failure
C0035455	Rhinitis
C0036572	Convulsion
C0037199	Sinusitis
C0039231	Tachycardia
C0042029	Urinary tract infection
C0042373	Angiopathy
C0042571	Vertigo
C0042963	Vomiting
C0043094	Weight increased
C0043096	Weight decreased
C0085595	Body odor
C0234930	Skin odour abnormal
C0085649	Oedema peripheral
C0151735	Injection site reaction
C0151736	Accidental injury
C3263723	Injury
C0152020	Gastric atony
C0522063	Impaired gastric emptying
C0231528	Myalgia
C0948594	Musculoskeletal discomfort
C0426576	Gastrointestinal symptom NOS
C0522055	Electrocardiogram abnormal
C0546817	Fluid overload
C0917801	Insomnia
C0947912	Myasthenia
C0151786	Muscular weakness
C1510472	Drug dependence
C0002792	Anaphylactic shock
C0002994	Angioedema
C0042109	Urticaria
C0863083	Injection site tenderness
C0151828	Injection site pain
C0003537	Aphasia
