drug_id	target_id	action
DB00001	P00734	inhibitor
DB00002	P00533	ant/agonist
DB00002	O75015	unknown
DB00002	P02745	unknown
DB00002	P02746	unknown
DB00002	P02747	unknown
DB00002	P08637	unknown
DB00002	P12314	unknown
DB00002	P12318	unknown
DB00004	P01589	other
DB00004	P14784	ant/agonist
DB00004	P31785	unknown
DB00005	P01375	other
DB00005	P12314	other
DB00005	P12318	other
DB00005	P31994	other
DB00005	P31995	other
DB00005	P08637	other
DB00005	O75015	other
DB00005	P01374	other
DB00005	P02745	other
DB00006	P00734	inhibitor
DB00006	P05164	inhibitor
DB00007	P30968	ant/agonist
DB00008	P48551	ant/agonist
DB00008	P17181	ant/agonist
DB00008	P05177	inhibitor
DB00009	P00747	other
DB00009	P02671	unknown
DB00009	Q03405	unknown
DB00009	P05121	unknown
DB00010	Q02643	ant/agonist
DB00011	P48551	ant/agonist
DB00011	P17181	ant/agonist
DB00011	P05177	inhibitor
DB00012	P19235	ant/agonist
DB00013	P00747	other
DB00013	Q03405	other
DB00013	P05121	substrate
DB00013	P05120	substrate
DB00013	P05154	substrate
DB00013	P98164	substrate
DB00013	Q9Y5Y6	substrate
DB00013	P14543	other
DB00013	P39900	substrate
DB00014	P22888	ant/agonist
DB00014	P30968	ant/agonist
DB00015	P00747	other
DB00015	P02671	unknown
DB00015	P05121	unknown
DB00016	P19235	ant/agonist
DB00017	P30988	ant/agonist
DB00018	P17181	ant/agonist
DB00018	P48551	ant/agonist
DB00018	P05177	inhibitor
DB00019	Q99062	ant/agonist
DB00019	P08246	substrate
DB00020	P15509	ant/agonist
DB00020	P26951	ant/agonist
DB00020	P32927	ant/agonist
DB00020	P34741	ant/agonist
DB00020	P13727	unknown
DB00022	P17181	ant/agonist
DB00022	P48551	ant/agonist
DB00022	P05177	inhibitor
DB00022	P10635	inhibitor
DB00022	P11712	other
DB00023	P05543	inhibitor
DB00024	P16473	ant/agonist
DB00025	P00742	other
DB00025	P00740	other
DB00025	P04275	other
DB00025	O14832	ant/agonist
DB00025	P07307	other
DB00025	P11021	other
DB00025	P27797	other
DB00025	P27824	other
DB00025	P49257	other
DB00025	Q07954	other
DB00025	Q8NI22	other
DB00025	P00734	other
DB00025	P04070	other
DB00026	P14778	ant/agonist
DB00027	P08183	inhibitor
DB00028	P12314	ant/agonist
DB00028	Q92637	ant/agonist
DB00028	P12318	ant/agonist
DB00028	P31994	ant/agonist
DB00028	P31995	ant/agonist
DB00028	P08637	ant/agonist
DB00028	O75015	ant/agonist
DB00028	P01024	other
DB00028	P0C0L4	other
DB00028	P0C0L5	other
DB00028	P01031	other
DB00029	P00747	other
DB00029	P02671	unknown
DB00029	P05121	unknown
DB00030	P06213	ant/agonist
DB00030	P08069	unknown
DB00030	P06400	unknown
DB00030	P16870	other
DB00030	P14735	other
DB00030	P16519	other
DB00030	P29120	other
DB00030	P05177	other
DB00031	P00747	other
DB00031	P02671	unknown
DB00031	Q03405	unknown
DB00031	P05121	unknown
DB00031	P05120	unknown
DB00031	P05452	unknown
DB00031	P05787	unknown
DB00031	P07355	unknown
DB00031	P27797	unknown
