Drug_id,Drug_name,Target_id,Target_name
3581,Indole-3-carbidol,P46934,NEDD4
3581,Indole-3-carbidol,Q9H0M0,WWP1
16065,"Methylium, tris(4-(diethylamino)phenyl)-",O00308,WWP2
21222,"7,8-Dimethyl-10-(2-Acetoxyethyl)Isoalloxazine",O00308,WWP2
21868,bonaphton,Q14145,Kelch-like ECH-associated protein 1
24255,"ZnPT, zinc pyrithione",P54578,Ubiquitin carboxyl-terminal hydrolase 14
24255,"ZnPT, zinc pyrithione",Q9Y5K5,UCHL5
38890,"7-(4-Methyl-1-piperazinyl)-4-nitro-2,1,3-benzoxadiazole 1-oxide",O15151,MDM4
62167,TAMe,Q12834,CDC20
62167,TAMe,Q9UM11,FZR1
65384,Chlorsulfaquinoxaline,Q66K64,DCAF15
76402,CuPT,P54578,Ubiquitin carboxyl-terminal hydrolase 14
76402,CuPT,Q9Y5K5,UCHL5
109499,Bavachinin,P40337,VHL
153282,Curcusone D,P45974,USP5
153282,Curcusone D,Q9UPT9,USP22
153282,Curcusone D,Q93009,USP7
153282,Curcusone D,P40818,USP8
153282,Curcusone D,Q9Y4E8,USP15
153282,Curcusone D,P54578,Ubiquitin carboxyl-terminal hydrolase 14
170364,Farglitazar,P37231,Peroxisome proliferator-activated receptor gamma
170592,E7820,Q66K64,DCAF15
178371,Pyrithione cadmium,P54578,Ubiquitin carboxyl-terminal hydrolase 14
178371,Pyrithione cadmium,Q9Y5K5,UCHL5
180156,PRT4165,P35226,BMI1
187530,Nutlin-3,Q00987,E3 ubiquitin-protein ligase Mdm2
187608,indisulam,Q66K64,DCAF15
191018,"4,4'-Dimethyl-2,2',5,5'-biphenyltetrol",O00308,WWP2
209302,"3,5-Bis(2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)benzoic acid",O00308,WWP2
268720,"S-[(2Z)-2-Amino-2-{[(6,6-dimethylbicyclo[3.1.1]hept-2-yl)methyl]imino}ethyl] hydrogen sulfurothioate",O00308,WWP2
268735,"1,3,5-Tribenzylpyrimidine-2,4,6(1H,3H,5H)-trione",Q09472,EP300
277401,"4-[(4-Methylphenyl)sulfinyl]-7-nitro-2,1,3-benzoxadiazole",O00308,WWP2
277406,"4-Nitro-7-[(1-oxido-2-pyridinyl)sulfanyl]-2,1,3-benzoxadiazole",O00308,WWP2
287083,"10-(2-Methoxyethyl)-3-phenylbenzo[g]pteridine-2,4(3H,10H)-dione",O00308,WWP2
301406,"2-(3-Nitrophenyl)-3-nitrosoimidazo[1,2-a]pyrimidine",O00308,WWP2
324262,NSC 632839,P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1
332269,RITA (NSC 652287),Q00987,E3 ubiquitin-protein ligase Mdm2
349633,NSC697923,P61088,UBE2N
462382,Z-Leu-leu-leu-al,P28074,Proteasome subunit beta type-5
585303,MNS,P55072,Transitional endoplasmic reticulum ATPase
588197,IU1,P54578,Ubiquitin carboxyl-terminal hydrolase 14
588237,IU1-47,P54578,Ubiquitin carboxyl-terminal hydrolase 14
589082,DBeQ,P55072,Transitional endoplasmic reticulum ATPase
656933,DI-Chloro-benzo-diazepine,Q00987,E3 ubiquitin-protein ligase Mdm2
826088,LDN-91946,P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1
875023,Tenovin-1,Q00987,E3 ubiquitin-protein ligase Mdm2
1079391,SZL-P1-41,Q13309,SKP2
1786966,DKM 2-93,Q9GZZ9,UBA5
2011008,TCID,P15374,UCHL3
2029029,SMIP004,Q13309,SKP2
2096054,PR-619,O75604,USP2
2096054,PR-619,Q13107,USP4
2096054,PR-619,P45974,USP5
2096054,PR-619,Q93009,USP7
2096054,PR-619,P40818,USP8
2096054,PR-619,Q9Y4E8,USP15
2096054,PR-619,Q9Y2K6,USP20
2096054,PR-619,Q96RU2,USP28
2096054,PR-619,Q96K76,USP47
2096054,PR-619,Q8TAC2,JOSD2
2096054,PR-619,P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1
2096054,PR-619,P15374,UCHL3
2096054,PR-619,Q9Y5K5,UCHL5
2096054,PR-619,Q96LD8,SENP8
2098223,P5091,Q93009,USP7
2108234,apcin,Q12834,CDC20
2186424,SKP2E3LI-C16,Q13309,SKP2
2637470,GW7647,O94782,USP1
2637470,GW7647,Q8TAF3,WDR48
2647927,Compound A,Q13309,SKP2
2742759,"N-[1-(4-Fluorophenyl)-3-(2-thienyl)-1H-pyrazol-5-YL]-3,5-bis(trifluoromethyl)benzenesulfonamide",P37231,Peroxisome proliferator-activated receptor gamma
2851123,"5-{[4-(Benzyloxy)phenyl]methylene}-2,4,6(1H,3H,5H)-pyrimidinetrione",P37231,Peroxisome proliferator-activated receptor gamma
4444634,Butein,Q00987,E3 ubiquitin-protein ligase Mdm2
4445042,Pterostilbene,Q14145,Kelch-like ECH-associated protein 1
4492747,PYR-41,P22314,Ubiquitin-like modifier-activating enzyme 1
4508454,b-AP15,P54578,Ubiquitin carboxyl-terminal hydrolase 14
4508454,b-AP15,Q9Y5K5,UCHL5
4510086,BAY 11-7082,P61088,UBE2N
4510086,BAY 11-7082,Q93009,USP7
4510086,BAY 11-7082,Q9UK80,USP21
4510086,BAY 11-7082,P22314,Ubiquitin-like modifier-activating enzyme 1
4578295,"N-[(Z)-2-(2,5-Dihydroxyphenyl)vinyl]formamide",O00308,WWP2
4579802,RA-9,Q9Y5K5,UCHL5
4579802,RA-9,P54578,Ubiquitin carboxyl-terminal hydrolase 14
4593742,Z-VAD(OMe)-FMK,P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1
4666286,SKP2E3LI-C5,Q13309,SKP2
5497183,"Benzyl N-[(2S)-4-methyl-1-[[(2S)-4-methyl-1-[[(E,3S)-5-methyl-1-methylsulfonylhex-1-en-3-yl]amino]-1-oxopentan-2-yl]amino]-1-oxopentan-2-yl]carbamate",P28074,Proteasome subunit beta type-5
5783743,heclin,Q9HAU4,SMURF2
5783743,heclin,P46934,NEDD4
5783743,heclin,O00308,WWP2
5909766,TZ9,P63146,UBE2B
6445533,Dacinostat,Q9UBN7,Histone deacetylase 6
6675804,Tubacin,Q9UBN7,Histone deacetylase 6
8112374,birabresib,P25440,BRD2
8112374,birabresib,Q15059,BRD3
8112374,birabresib,O60885,BRD4
8335746,tasisulam,Q66K64,DCAF15
9397884,WP1130,Q93008,USP9X
9397884,WP1130,P54578,Ubiquitin carboxyl-terminal hydrolase 14
9397884,WP1130,Q9Y5K5,UCHL5
9397884,WP1130,P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1
9397884,WP1130,Q6R6M4,USP17L2
9397884,WP1130,P45974,USP5
9522473,Marizomib,P28062,Proteasome subunit beta type-8
9522473,Marizomib,P28074,Proteasome subunit beta type-5
9549238,3-(4-Methoxyphenyl)-N-(Phenylsulfonyl)-1-[3-(Trifluoromethyl)benzyl]-1h-Indole-2-Carboxamide,P37231,Peroxisome proliferator-activated receptor gamma
9737907,Vialinin A,Q13107,USP4
9737907,Vialinin A,P45974,USP5
9737907,Vialinin A,P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1
9784341,Serdemetan,Q00987,E3 ubiquitin-protein ligase Mdm2
9805639,"3-[4-[2-(5-Methyl-2-morpholin-4-yl-1,3-thiazol-4-yl)ethoxy]-2-[(propan-2-yloxycarbonylamino)methyl]phenyl]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
9806551,"6-[(3S,9S,12R)-3-Benzyl-6,6-dimethyl-2,5,8,11-tetraoxo-1,4,7,10-tetrazabicyclo[10.3.0]pentadecan-9-yl]-N-hydroxyhexanamide",Q9UBN7,Histone deacetylase 6
9829523,Midostaurin,Q9P0L2,Serine/threonine-protein kinase MARK1
9829523,Midostaurin,Q9NRM7,LATS2
9829523,Midostaurin,Q9H0K1,Serine/threonine-protein kinase SIK2
9829523,Midostaurin,Q96L34,MAP/microtubule affinity-regulating kinase 4
9829523,Midostaurin,Q8TDC3,BRSK1
9829523,Midostaurin,Q8IWQ3,BRSK2
9829523,Midostaurin,Q7KZI7,Serine/threonine-protein kinase MARK2
9829523,Midostaurin,Q07912,Activated CDC42 kinase 1
9829523,Midostaurin,P57059,Serine/threonine-protein kinase SIK1
9829523,Midostaurin,P27448,MAP/microtubule affinity-regulating kinase 3
9829523,Midostaurin,O95835,Serine/threonine-protein kinase LATS1
9866595,(S)-3-{4-[2-(5-Methyl-2-phenyl-oxazol-4-yl)-ethoxy]-phenyl}-2-pyrrol-1-yl-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
9888484,Naveglitazar,P37231,Peroxisome proliferator-activated receptor gamma
9890585,"(2S)-2-Methyl-3-[4-[2-(5-methyl-2-thiophen-2-yl-1,3-oxazol-4-yl)ethoxy]phenyl]-2-phenoxypropanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
9891946,"Benzeneacetic acid, 3-chloro-4-((3-((3-phenyl-7-propyl-6-benzofuranyl)oxy)propyl)thio)-",P37231,Peroxisome proliferator-activated receptor gamma
9915668,2-[[2-[Acetyl(methyl)amino]-3-methylpentanoyl]amino]-N-[3-hydroxy-1-[[4-methyl-1-(2-methyloxiran-2-yl)-1-oxopentan-2-yl]amino]-1-oxobutan-2-yl]-3-methylpentanamide,P28074,Proteasome subunit beta type-5
9953271,"5-[[4-[2-(5-Methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]methyl]-1,3-thiazolidine-2,4-dione",P37231,Peroxisome proliferator-activated receptor gamma
9958543,(2S)-2-[3-[[1-(4-Methoxybenzoyl)-2-methyl-5-(trifluoromethoxy)indol-3-yl]methyl]phenoxy]propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
9980586,3-(1-((2-(3-Chlorophenyl)-5-methyloxazol-4-yl)methyl)-1H-indol-5-yl)-2-ethoxypropanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
9983904,"(2S,3S)-1-(4-Methoxyphenyl)-3-[[4-[2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]methyl]-4-oxoazetidine-2-carboxylic acid",P37231,Peroxisome proliferator-activated receptor gamma
10004270,"(2S)-2-Methyl-3-[4-[2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]-2-phenoxypropanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10068664,2-Phenyl-3-(4-methoxyphenethyl)-1H-indole-5-acetic acid,P37231,Peroxisome proliferator-activated receptor gamma
10072967,3-(1-((2-(4-Tert-butylphenyl)-5-methyloxazol-4-yl)methyl)-1H-indol-5-yl)-2-ethoxypropanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10113515,(S)-2-Methoxy-3-{4-[5-(4-phenoxy-phenoxy)-pent-1-ynyl]-phenyl}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10115344,(S)-2-Ethoxy-3-{4-[3-(4-phenoxy-phenoxy)-propoxy]-phenyl}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10119125,(2R)-2-[2-[[1-(4-Methoxybenzoyl)-2-methyl-5-(trifluoromethoxy)indol-3-yl]methyl]phenoxy]propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10119393,3-{4-[2-(2-Biphenyl-3-yl-5-methyl-oxazol-4-yl)ethoxy]-phenyl}-2-methyl-2-phenoxypropionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10119824,"3-[4-[2-[5-Methyl-2-(4-pyrimidin-2-ylphenyl)-1,3-oxazol-4-yl]ethoxy]-2-[(propan-2-yloxycarbonylamino)methyl]phenyl]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10136660,(S)-2-Methoxy-3-{4-[4-(4-phenoxy-phenoxy)-but-1-ynyl]-phenyl}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10139247,2-Methyl-3-{4-[2-(5-methyl-2-phenyl-oxazol-4-yl)-ethoxy]-phenyl}-2-phenoxy-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10143056,CID 10143056,P37231,Peroxisome proliferator-activated receptor gamma
10143678,"3-[4-[2-[5-Methyl-2-(4-phenylphenyl)-1,3-oxazol-4-yl]ethoxy]-2-[(propan-2-yloxycarbonylamino)methyl]phenyl]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10144243,"3-[4-[2-[5-Methyl-2-(4-phenoxyphenyl)-1,3-oxazol-4-yl]ethoxy]-2-[(propan-2-yloxycarbonylamino)methyl]phenyl]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10184159,2-{3-[1-(4-Chloro-benzoyl)-5-methoxy-2-methyl-1H-indol-3-ylmethyl]-phenoxy}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10184971,2-[2-[[1-(4-Chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]methyl]phenoxy]-2-methylpropanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10205220,3-(2-((Isopropoxycarbonyl)methyl)-4-(2-(5-methyl-2-phenyloxazol-4-yl)ethoxy)phenyl)propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10208548,2-{2-[1-(4-Methoxy-benzoyl)-2-methyl-5-trifluoromethoxy-1H-indol-3-ylmethyl]-phenoxy}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10223023,(S)-3-{4-[3-(Biphenyl-4-yloxy)-propoxy]-phenyl}-2-methoxy-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10226233,(S)-3-{4-[3-(4-Benzoyl-phenoxy)-propoxy]-phenyl}-2-methoxy-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10226701,{4-[1-(4-Chloro-benzoyl)-5-methoxy-2-methyl-1H-indol-3-ylmethyl]-phenoxy}-acetic acid,P37231,Peroxisome proliferator-activated receptor gamma
10228304,2-[3-[[1-(4-Chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]methyl]phenoxy]-2-methylpropanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10230642,2-[2-[[1-(4-Methoxybenzoyl)-2-methyl-5-(trifluoromethoxy)indol-3-yl]methyl]phenoxy]-2-methylpropanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10276539,"2-Methyl-3-[4-[2-(5-methyl-2-thiophen-2-yl-1,3-oxazol-4-yl)ethoxy]phenyl]-2-phenoxypropanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10277333,2-{2-[1-(4-Chloro-benzoyl)-5-methoxy-2-methyl-1H-indol-3-ylmethyl]-phenoxy}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10279905,2-{3-[1-(4-Methoxy-benzoyl)-2-methyl-5-trifluoromethoxy-1H-indol-3-ylmethyl]-phenoxy}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10280496,2-[3-[[1-(4-Methoxybenzoyl)-2-methyl-5-(trifluoromethoxy)indol-3-yl]methyl]phenoxy]-2-methylpropanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10297760,(S)-2-Methoxy-3-{3-methoxy-4-[3-(4-phenoxy-phenoxy)-propoxy]-phenyl}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
10303277,4-[3-Chloro-4-(1-methylimidazol-2-yl)sulfanylanilino]-6-methoxy-7-(3-morpholin-4-ylpropoxy)quinoline-3-carbonitrile,Q13233,Mitogen-activated protein kinase kinase kinase 1
10320669,Nimbolide,Q9Y508,RNF114
10342769,2-Ethoxy-3-(1-((2-(4-ethylphenyl)-5-methyloxazol-4-yl)methyl)-1H-indol-5-yl)propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10343538,2-Ethoxy-3-(1-((2-(4-isopropylphenyl)-5-methyloxazol-4-yl)methyl)-1H-indol-5-yl)propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
10344769,"3-(1-((2-(3,5-Dichlorophenyl)-5-methyloxazol-4-yl)methyl)-1H-indol-5-yl)-2-ethoxypropanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10346786,"(3R,4S)-4-[[4-[2-(5-Methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]methyl]-1-phenoxycarbonylpyrrolidine-3-carboxylic acid",P37231,Peroxisome proliferator-activated receptor gamma
10347566,"(3R,4S)-4-[[4-[2-(5-Methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]methyl]-1-[4-(trifluoromethyl)pyrimidin-2-yl]pyrrolidine-3-carboxylic acid",P37231,Peroxisome proliferator-activated receptor gamma
10369999,"(2S,3S)-1-(4-Tert-butylphenyl)-3-[[3-[2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]methyl]-4-oxoazetidine-2-carboxylic acid",P37231,Peroxisome proliferator-activated receptor gamma
10370056,"(3R,4S)-4-[2-[4-[2-(5-Methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]ethyl]-1-phenoxycarbonylpyrrolidine-3-carboxylic acid",P37231,Peroxisome proliferator-activated receptor gamma
10371027,"(2S)-2-[2-Chloro-5-[1-(6-chloro-1,2-benzoxazol-3-yl)-2-methyl-5-(trifluoromethoxy)indol-3-yl]oxyphenoxy]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10391684,"(2S,3S)-1-(4-Methoxyphenyl)-3-[[3-[2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]phenyl]methyl]-4-oxoazetidine-2-carboxylic acid",P37231,Peroxisome proliferator-activated receptor gamma
