drug_id	target_id
DB00001	P00734
DB00002	P31994
DB00002	P09871
DB00002	P12318
DB00002	O75015
DB00002	P00533
DB00002	P02746
DB00002	P02745
DB00002	P08637
DB00002	P02747
DB00002	P12314
DB00002	P31995
DB00002	P00736
DB00004	P14784
DB00004	P01589
DB00004	P31785
DB00005	P31994
DB00005	P12318
DB00005	P09871
DB00005	P12314
DB00005	P02746
DB00005	P00736
DB00005	P20333
DB00005	P02745
DB00005	P08637
DB00005	P02747
DB00005	P01374
DB00005	O75015
DB00005	P01375
DB00005	P31995
DB00006	P00734
DB00007	P30968
DB00008	P17181
DB00008	P48551
DB00009	P00747
DB00009	P02671
DB00009	P05121
DB00009	Q03405
DB00010	Q02643
DB00011	P17181
DB00011	P48551
DB00012	P19235
DB00013	Q9Y5Y6
DB00013	P05121
DB00013	P98164
DB00013	P00747
DB00013	P05120
DB00013	P00750
DB00013	P00749
DB00013	Q03405
DB00013	P05154
DB00013	P14543
DB00014	P30968
DB00014	P22888
DB00015	P00747
DB00015	P02671
DB00015	P05121
DB00015	Q03405
DB00016	P19235
DB00017	P30988
DB00018	P17181
DB00018	P48551
DB00019	P08246
DB00019	Q99062
DB00020	Q92626
DB00020	P26951
DB00020	P34741
DB00020	P15509
DB00020	P32927
DB00021	P47872
DB00022	P17181
DB00022	P48551
DB00024	P16473
DB00025	P00740
DB00025	P04275
DB00025	Q9BQ89
DB00025	P11021
DB00025	P27824
DB00025	P27797
DB00025	P07307
DB00025	P49257
DB00025	O14832
DB00025	Q07954
DB00025	Q8NI22
DB00026	P14778
DB00028	P31994
DB00028	P12318
DB00028	P12314
DB00028	P08637
DB00028	O75015
DB00028	P01031
DB00028	P01024
DB00028	P31995
DB00028	P0C0L5
DB00028	Q92637
DB00028	P0C0L4
DB00029	P00747
DB00029	P02671
DB00029	P05121
DB00029	Q03405
DB00030	P29120
DB00030	P16519
DB00030	P06213
DB00030	Q16270
DB00030	P07339
DB00030	P06400
DB00030	P98164
DB00030	Q9UIW2
DB00030	Q96C24
DB00030	P16870
DB00030	P08069
DB00030	P14735
DB00031	P05121
DB00031	P00747
DB00031	P27797
DB00031	Q03405
DB00031	P27824
DB00031	P05120
DB00031	P02671
DB00031	P07355
DB00031	Q07954
DB00031	P05787
DB00031	P05452
DB00032	P22888
DB00032	P23945
DB00033	P15260
DB00033	P38484
DB00034	P17181
DB00034	P48551
DB00035	P30518
DB00035	P47901
DB00035	P37288
DB00036	P05981
DB00036	Q9BQ89
DB00036	P13726
DB00036	P10646
DB00036	P08709
DB00036	P38435
DB00038	Q14626
DB00039	P22607
DB00039	P11362
DB00039	P21802
DB00039	Q92832
DB00039	P22455
DB00039	P98160
DB00040	P43220
DB00040	O95838
DB00040	P47871
DB00041	P14784
DB00041	P01589
DB00041	P31785
DB00042	P23763
DB00042	P63027
DB00042	Q8N9I0
DB00043	P12319
DB00043	Q01362
DB00044	P22888
DB00045	O60603
DB00046	P06213
DB00046	P08069
DB00047	P06213
DB00047	P08069
DB00048	P02458
DB00048	P08123
DB00048	P02461
DB00048	P02452
DB00050	P30968
DB00050	P22888
DB00051	P31994
DB00051	P09871
DB00051	P12318
DB00051	O75015
DB00051	P00736
DB00051	P02746
DB00051	P02745
DB00051	P08637
DB00051	P02747
DB00051	P12314
DB00051	P01375
DB00051	P31995
DB00052	P10912
DB00052	P16471
DB00054	P31994
DB00054	P09871
DB00054	P12318
DB00054	O75015
DB00054	P02746
DB00054	P00736
DB00054	P08514
DB00054	P02745
DB00054	P08637
DB00054	P02747
DB00054	P12314
DB00054	P31995
DB00054	P05106
DB00054	P04004
DB00055	P00451
DB00055	P07225
DB00055	P05121
DB00055	P35237
DB00055	Q9UNN8
DB00055	P12259
DB00055	P07204
DB00055	P00450
DB00055	P38435
DB00055	P00734
DB00055	P05154
DB00055	P02776
DB00056	P31994
DB00056	P09871
DB00056	P12318
DB00056	O75015
DB00056	P00736
DB00056	P02746
DB00056	P02745
DB00056	P08637
DB00056	P02747
DB00056	P12314
DB00056	P20138
DB00056	P31995
DB00058	P08246
DB00060	P17181
DB00060	P48551
DB00061	P62993
DB00062	P02760
DB00062	P02649
DB00063	P05106
DB00064	P02760
DB00064	P02649
DB00065	P01375
DB00066	P23945
DB00067	P30518
DB00067	P47901
DB00067	P37288
DB00068	P17181
DB00068	P48551
DB00069	P17181
DB00069	P48551
DB00070	P01137
DB00071	P29120
DB00071	P16519
DB00071	P06213
DB00071	Q16270
DB00071	P07339
DB00071	P06400
DB00071	P01906
DB00071	Q9UIW2
DB00071	P98164
DB00071	Q96C24
DB00071	P16870
DB00071	P01920
DB00071	P08069
DB00071	P14735
DB00072	P31994
DB00072	P09871
DB00072	P04626
DB00072	P12314
DB00072	P00533
DB00072	P02746
DB00072	P02745
DB00072	P08637
DB00072	P02747
DB00072	O75015
DB00072	P12318
DB00072	P31995
DB00072	P00736
DB00073	P31994
DB00073	P09871
DB00073	P12318
DB00073	O75015
DB00073	P00736
DB00073	P02746
DB00073	P02745
DB00073	P08637
DB00073	P02747
DB00073	P12314
DB00073	P11836
DB00073	P31995
DB00074	P31994
DB00074	P12318
DB00074	P09871
DB00074	P12314
DB00074	P00736
DB00074	P02746
DB00074	P02745
DB00074	P08637
DB00074	P02747
DB00074	P14784
DB00074	O75015
DB00074	P01589
DB00074	P31995
DB00075	P31994
DB00075	P09871
DB00075	P12318
DB00075	O75015
DB00075	P00736
DB00075	P02746
DB00075	P02745
DB00075	P08637
DB00075	P02747
DB00075	P12314
DB00075	P04234
DB00075	P09693
DB00075	P20963
DB00075	P31995
DB00075	P07766
DB00078	P31994
DB00078	P09871
DB00078	P12318
DB00078	O75015
DB00078	P00736
DB00078	P02746
DB00078	P02745
DB00078	P08637
DB00078	P02747
DB00078	P12314
DB00078	P11836
DB00078	P31995
DB00081	P31994
DB00081	P12318
DB00081	O75015
DB00081	P00736
DB00081	P02746
DB00081	P02745
DB00081	P08637
DB00081	P02747
DB00081	P12314
DB00081	P11836
DB00081	P31995
DB00082	P10912
DB00083	P62745
DB00083	P60880
DB00086	P00747
DB00086	P25116
DB00087	P31994
DB00087	P12318
DB00087	O75015
DB00087	P00736
DB00087	P02746
DB00087	P02745
DB00087	P08637
DB00087	P02747
DB00087	P12314
DB00087	P31358
DB00087	P31995
DB00089	Q04609
DB00091	P62937
DB00091	P30405
DB00091	P49069
DB00091	Q96LZ3
DB00092	P31994
DB00092	P06729
DB00092	P12318
DB00092	P12314
DB00092	P00736
DB00092	P02746
DB00092	P02745
DB00092	P08637
DB00092	P02747
DB00092	O75015
DB00092	P31995
DB00093	P37288
DB00094	P23945
DB00095	P20701
